2.01,0.41,2.02,2.03,0.67,129.23,110.48,110.02,141.08,125.72,124.49,110.82,128.17,-0.02,0.31,0.84
1.98,0.27,2.02,2.02,0.61,131.3,129.66,117.07,120.25,109.05,99.56,116.46,114.21,-0.19,0.15,0.81
2.01,0.27,2.01,2.02,0.39,142.5,112.77,124.68,145.59,128.48,211.74,133.01,118.25,-0.36,-0.02,0.67
2.01,0.25,1.97,1.99,0.72,133.96,116.48,134.21,102.91,111.08,148.82,120.32,94.36,-0.32,-0.23,-0.52
0.24,2,0.64,0.85,2.01,336.35,100.66,104.98,435.62,130.07,133.05,107.1,120.16,-0.18,-0.4,-1.86
2.01,0.38,1.99,2.02,0.71,119.55,117.63,116.56,94.01,112.22,130.24,127.48,123.81,0.01,-0.26,-2.29
2.02,0.27,2.04,2,0.53,120.91,126.81,120.27,101.35,128.88,104.01,96.53,128.69,0.19,-0.11,-2.21
2.03,0.25,2.02,2.04,0.4,103.45,126.46,122.79,275.57,124.98,229.23,107.46,122.22,0.37,0.04,-2.73
2.03,0.26,2.02,2.02,0.7,112.07,108.71,116,130.33,110.74,122.59,122.22,108.85,0.27,0.24,2.42
0.22,2,0.58,0.77,1.98,156.41,105.78,129.32,302.27,142.34,191.24,100.8,146.54,0.09,0.38,1.62
2.03,0.33,2.02,1.99,0.88,124.22,140.53,94.3,125.21,114.83,117.86,131.3,102.9,-0.12,0.3,1.14
1.98,0.23,2.03,2.01,1.99,95.99,117.42,124.99,128.06,117.93,150.61,129.21,114.99,-0.34,0.2,1.05
2,0.49,1.99,1.96,0.73,148.78,130.39,122.41,134.76,109.69,120.19,117.23,133.86,-0.32,0.02,-0.72
1.96,0.26,1.97,1.98,0.56,134.9,118.7,121.76,121.75,130.37,104.39,115.64,123.79,-0.16,-0.15,-0.84
2.01,0.25,1.99,2.04,0.34,124.8,136.49,120.62,102.57,134.3,112.09,124.08,123.67,0.01,-0.31,-0.79
2.01,0.23,1.99,1.99,0.8,171.14,115.06,121.99,171.84,118.36,119.24,100.38,83.36,0.22,-0.35,-2.07
0.22,2,0.59,0.87,2.01,192.04,118.93,118.84,304.48,122.69,147.72,116.21,107.59,0.37,-0.19,3.02
2.01,0.38,2.02,2,0.67,123.19,126.29,145,102.82,116.72,130.62,130.83,114.41,0.26,0.01,2.58
1.97,0.23,1.98,2.05,0.51,117.77,123.21,124.91,122.05,113.93,114.74,129.02,116.62,0.14,0.22,2.54
0.25,2,0.42,0.86,2.02,126.74,141.02,142.23,348.01,127.31,235.46,136.99,122.04,-0.01,0.39,1.72
2.02,0.22,1.99,2.01,0.7,114.46,116.09,133.27,115.73,123.14,139.42,106.32,117.41,-0.21,0.27,0.89
2,0.22,1.99,1.99,0.64,139.15,113.5,117.5,251.48,127.62,259.24,133.71,128.18,-0.39,0.12,0.42
2.01,0.35,2.01,2.01,0.73,126.23,129.84,130.97,112.9,108.04,154.28,137.03,115.92,-0.29,-0.09,-0.61
2.01,0.24,2.02,1.97,0.61,116.73,102.49,130.81,124.76,115.81,125.45,121.65,110.26,-0.15,-0.28,-0.71
