
--------NEW RUN--------
Format: (rows,columns)
GRID Size (10, 10)
Goal Position: (6, 5)
Number of episodes: 500
--------------Final Q-Table--------------
Pos: (5, 1) Actions Values: {'up': -13.55, 'down': -9.577, 'left': -17.195, 'right': -9.53} Nr Visits: 66
Pos: (6, 1) Actions Values: {'up': -17.195, 'down': -9.619, 'left': -9.619, 'right': -7.271} Nr Visits: 97
Pos: (7, 1) Actions Values: {'up': -28.354, 'down': 39.889, 'left': -9.797, 'right': -9.835} Nr Visits: 191
Pos: (8, 1) Actions Values: {'up': -31.608, 'down': -22.143, 'left': 24.962, 'right': -9.995} Nr Visits: 219
Pos: (9, 1) Actions Values: {'up': -38.561, 'down': -9.995, 'left': 9.312, 'right': -9.995} Nr Visits: 440
Pos: (10, 1) Actions Values: {'up': -34.309, 'down': -9.995, 'left': -5.337, 'right': -38.561} Nr Visits: 449
Pos: (1, 2) Actions Values: {'up': -9.797, 'down': -9.722, 'left': -23.021, 'right': 7.678} Nr Visits: 188
Pos: (2, 2) Actions Values: {'up': -9.506, 'down': 18.657, 'left': -8.123, 'right': -9.355} Nr Visits: 219
Pos: (3, 2) Actions Values: {'up': -9.577, 'down': -13.55, 'left': -8.758, 'right': -13.55} Nr Visits: 67
Pos: (4, 2) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (5, 2) Actions Values: {'up': -9.478, 'down': -13.55, 'left': -17.195, 'right': -9.53} Nr Visits: 64
Pos: (6, 2) Actions Values: {'up': -9.42, 'down': -20.476, 'left': -9.42, 'right': -5.03} Nr Visits: 86
Pos: (7, 2) Actions Values: {'up': -5.925, 'down': 54.137, 'left': -8.906, 'right': -21.301} Nr Visits: 151
Pos: (8, 2) Actions Values: {'up': 0, 'down': 0, 'left': 0, 'right': 0} Nr Visits: 0
Pos: (9, 2) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -37.29, 'right': -9.995} Nr Visits: 460
Pos: (10, 2) Actions Values: {'up': -9.995, 'down': -9.995, 'left': -9.995, 'right': -35.878} Nr Visits: 522
Pos: (1, 3) Actions Values: {'up': -9.114, 'down': -9.114, 'left': -13.55, 'right': -2.433} Nr Visits: 76
Pos: (2, 3) Actions Values: {'up': -6.215, 'down': 30.177, 'left': -8.784, 'right': -19.022} Nr Visits: 185
